state,district,year,crop,area_harvested_ha,production_tonnes,yield_kg_per_ha
Maharashtra,Ahmednagar,2019,Tomato,15404.84,579977.11,4289.36
Maharashtra,Jalgaon,2019,Maize,7615.17,110163.04,3168.7
Maharashtra,Ahmednagar,2018,Maize,7266.13,506421.51,3413.27
Maharashtra,Solapur,2020,Chickpea,25976.83,609704.98,5674.26
Maharashtra,Aurangabad,2022,Soybean,37486.48,742839.75,2640.37
Maharashtra,Nashik,2021,Tomato,28266.68,381393.19,4656.39
Maharashtra,Pune,2021,Sugarcane,43677.3,1360310.25,2340.72
Maharashtra,Satara,2019,Maize,15862.03,427975.01,2325.2
Maharashtra,Nashik,2025,Maize,29792.82,1277400.39,5596.69
Maharashtra,Jalgaon,2018,Tomato,33095.96,667706.18,4342.69
Maharashtra,Dhule,2025,Maize,14106.44,1077375.97,5609.27
Maharashtra,Pune,2024,Onion,19875.57,166798.13,5970.2
Maharashtra,Pune,2019,Sugarcane,29587.9,817183.51,501.12
Maharashtra,Dhule,2019,Sugarcane,1144.44,1441258.43,5907.33
Maharashtra,Dhule,2024,Maize,44341.88,999543.69,1054.79
Maharashtra,Nashik,2024,Sugarcane,5642.1,1230523.75,887.26
Maharashtra,Sangli,2023,Cotton,2473.14,391975.16,4722.95
Maharashtra,Pune,2020,Sugarcane,10830.26,1200353.3,2426.02
Maharashtra,Nashik,2025,Onion,25165.67,527204.45,5547.97
Maharashtra,Ahmednagar,2025,Wheat,16502.0,727874.61,3494.79
Maharashtra,Ahmednagar,2025,Wheat,22063.27,282342.6,2623.61
Maharashtra,Aurangabad,2021,Soybean,4305.13,728804.73,903.91
Maharashtra,Jalgaon,2022,Chickpea,11731.92,773794.91,3055.5
Maharashtra,Aurangabad,2018,Onion,4973.27,933679.6,2028.44
Maharashtra,Nashik,2022,Rice,11562.36,1303016.37,921.37
Maharashtra,Pune,2018,Chickpea,35195.12,457624.31,4187.14
Maharashtra,Jalgaon,2021,Tomato,28807.01,1476213.1,5875.35
Maharashtra,Sangli,2025,Tomato,16765.15,1271611.09,2584.03
Maharashtra,Jalgaon,2020,Rice,13135.24,604682.47,2134.96
Maharashtra,Satara,2022,Chickpea,49876.64,340382.13,994.78
Maharashtra,Aurangabad,2018,Rice,38416.6,107706.12,1727.3
Maharashtra,Aurangabad,2019,Maize,41120.01,351929.1,2067.35
Maharashtra,Ahmednagar,2024,Chickpea,1415.6,1326842.12,2392.97
Maharashtra,Dhule,2021,Wheat,3073.38,438401.1,3986.82
Maharashtra,Jalgaon,2020,Chickpea,35659.46,207400.73,1131.8
Maharashtra,Pune,2024,Onion,9672.46,34500.55,821.33
