arrival_date,state,district,market,commodity,variety,min_price_per_quintal,max_price_per_quintal,modal_price_per_quintal
2025-08-19,Maharashtra,Jalgaon,Jalgaon,Sugarcane,Local,508.62,1506.72,1191.11
2025-05-30,Maharashtra,Satara,Jalgaon,Maize,Yellow,3286.27,4311.49,3690.15
2025-08-09,Maharashtra,Jalgaon,Nashik,Sugarcane,Local,2484.2,3375.0,2909.42
2025-09-18,Maharashtra,Dhule,Pune,Wheat,Lokwan,3048.38,3741.15,3549.03
2025-09-23,Maharashtra,Sangli,Ahmednagar,Tomato,Hybrid,3683.5,4305.61,4007.79
2025-04-24,Maharashtra,Dhule,Jalgaon,Chickpea,Desi,1527.84,2300.84,2025.07
2025-06-14,Maharashtra,Pune,Pune,Rice,Non-Basmati,1557.78,2198.02,1966.35
2025-02-25,Maharashtra,Dhule,Ahmednagar,Wheat,Lokwan,3766.86,4362.8,3888.12
2025-12-08,Maharashtra,Nashik,Kolhapur,Maize,White,964.89,2440.26,1576.53
2025-12-22,Maharashtra,Ahmednagar,Kolhapur,Onion,White,1717.77,3008.51,2382.04
2025-09-07,Maharashtra,Kolhapur,Lasalgaon,Onion,White,1799.4,2683.94,1915.13
2025-08-31,Maharashtra,Solapur,Kolhapur,Potato,Jyoti,737.55,2195.97,1311.11
2025-01-02,Maharashtra,Kolhapur,Nashik,Tomato,Local,2766.03,3630.01,3097.52
2025-05-23,Maharashtra,Nashik,Sangli,Rice,Non-Basmati,1727.57,2469.4,2178.95
2025-06-18,Maharashtra,Kolhapur,Ahmednagar,Soybean,Yellow,987.06,2229.31,1387.06
2025-03-04,Maharashtra,Ahmednagar,Pune,Cotton,Medium Staple,3179.44,4269.41,3610.23
2025-06-03,Maharashtra,Pune,Jalgaon,Wheat,Sharbati,513.52,1777.79,910.63
2025-12-16,Maharashtra,Jalgaon,Jalgaon,Sugarcane,Local,1710.67,2943.52,2322.7
2025-09-12,Maharashtra,Pune,Kolhapur,Sugarcane,Local,3058.29,4288.51,3568.39
2025-03-07,Maharashtra,Ahmednagar,Sangli,Wheat,Sharbati,3250.46,4410.55,3598.04
2025-10-12,Maharashtra,Ahmednagar,Sangli,Maize,White,2499.89,3720.43,3013.03
2025-07-07,Maharashtra,Solapur,Solapur,Sugarcane,Local,764.88,1994.02,1443.91
2025-07-12,Maharashtra,Kolhapur,Solapur,Cotton,Long Staple,2544.47,3170.19,2692.65
2025-10-23,Maharashtra,Kolhapur,Nashik,Maize,White,2593.91,3685.46,2926.76
2025-01-11,Maharashtra,Jalgaon,Kolhapur,Onion,White,1347.51,2687.38,1969.79
2025-06-29,Maharashtra,Aurangabad,Pune,Potato,Local,2408.48,3345.06,2951.91
2025-12-09,Maharashtra,Dhule,Solapur,Sugarcane,Local,100.0,1225.37,726.7
2025-03-31,Maharashtra,Satara,Nashik,Sugarcane,Local,272.03,1003.91,395.92
2025-08-11,Maharashtra,Satara,Lasalgaon,Potato,Local,1111.69,1852.05,1729.35
2025-12-01,Maharashtra,Sangli,Sangli,Sugarcane,Local,2756.65,3629.78,3331.73
2025-08-14,Maharashtra,Pune,Pune,Onion,Red,2943.25,3832.44,3532.27
2025-04-13,Maharashtra,Satara,Pune,Potato,Local,506.6,1771.54,964.96
2025-12-03,Maharashtra,Satara,Nashik,Soybean,Yellow,4130.3,4626.64,4261.45
2025-12-21,Maharashtra,Sangli,Solapur,Wheat,Sharbati,2184.51,3144.1,2607.98
2025-12-22,Maharashtra,Satara,Sangli,Sugarcane,Local,297.11,1407.03,641.76
2025-08-20,Maharashtra,Sangli,Sangli,Maize,Yellow,2448.06,3172.04,2864.29
2025-09-24,Maharashtra,Solapur,Pune,Soybean,Bold,3482.52,4225.7,4026.69
2025-10-11,Maharashtra,Ahmednagar,Pune,Soybean,Yellow,1460.72,2776.98,1918.29
2025-07-09,Maharashtra,Nashik,Kolhapur,Sugarcane,Local,3396.96,4336.25,3672.5
2025-02-17,Maharashtra,Solapur,Sangli,Maize,Yellow,3771.14,4472.49,4230.84
2025-10-11,Maharashtra,Jalgaon,Lasalgaon,Cotton,Long Staple,2398.73,3304.38,2548.61
2025-10-29,Maharashtra,Kolhapur,Nashik,Maize,White,1502.54,2335.46,1605.76
2025-02-24,Maharashtra,Kolhapur,Lasalgaon,Soybean,Yellow,3563.5,4674.45,3904.41
2025-12-05,Maharashtra,Kolhapur,Solapur,Maize,Yellow,3345.85,4221.13,3900.16
2025-04-29,Maharashtra,Solapur,Kolhapur,Wheat,Sharbati,396.36,1448.81,989.94
2025-01-02,Maharashtra,Kolhapur,Lasalgaon,Potato,Local,1948.0,3032.84,2377.9
2025-08-12,Maharashtra,Pune,Lasalgaon,Rice,Non-Basmati,2744.18,3777.52,3364.99
2025-08-24,Maharashtra,Dhule,Solapur,Rice,Basmati,3255.85,3587.37,3431.4
2025-07-22,Maharashtra,Aurangabad,Ahmednagar,Maize,White,1474.5,2362.13,2152.97
2025-05-24,Maharashtra,Dhule,Jalgaon,Tomato,Local,696.59,1927.34,1349.65
2025-01-11,Maharashtra,Jalgaon,Jalgaon,Maize,White,3925.27,4784.95,4384.81
2025-09-16,Maharashtra,Sangli,Ahmednagar,Sugarcane,Local,2472.01,2711.55,2607.25
2025-10-25,Maharashtra,Aurangabad,Kolhapur,Onion,Red,1913.11,2999.11,2285.63
2025-06-06,Maharashtra,Dhule,Kolhapur,Soybean,Bold,1586.55,2227.48,1794.12
2025-07-16,Maharashtra,Pune,Nashik,Potato,Local,1781.13,2609.2,2258.18
2025-04-02,Maharashtra,Aurangabad,Jalgaon,Rice,Basmati,396.45,1281.25,610.43
2025-11-29,Maharashtra,Aurangabad,Sangli,Tomato,Hybrid,3309.71,4162.88,3698.79
2025-06-02,Maharashtra,Dhule,Lasalgaon,Sugarcane,Local,1951.58,2830.82,2174.95
2025-05-14,Maharashtra,Aurangabad,Nashik,Tomato,Local,100.0,410.56,300.0
2025-04-26,Maharashtra,Jalgaon,Solapur,Tomato,Hybrid,1069.44,1425.73,1318.19
2025-03-08,Maharashtra,Satara,Jalgaon,Maize,White,3531.56,4197.0,3649.08
2025-05-30,Maharashtra,Satara,Ahmednagar,Soybean,Bold,1799.63,3215.07,2329.3
2025-09-13,Maharashtra,Solapur,Nashik,Cotton,Medium Staple,1269.42,1871.34,1553.46
2025-02-10,Maharashtra,Dhule,Ahmednagar,Wheat,Sharbati,2140.0,3305.18,2658.87
2025-06-30,Maharashtra,Kolhapur,Lasalgaon,Tomato,Local,1649.47,2379.37,2141.56
2025-07-07,Maharashtra,Jalgaon,Sangli,Sugarcane,Local,2492.9,2981.81,2632.57
2025-02-08,Maharashtra,Nashik,Solapur,Rice,Non-Basmati,2596.27,3045.95,2883.49
2025-11-07,Maharashtra,Aurangabad,Solapur,Maize,Yellow,1080.26,2325.01,1520.38
2025-11-23,Maharashtra,Dhule,Lasalgaon,Sugarcane,Local,1157.68,2157.07,1808.72
2025-08-05,Maharashtra,Dhule,Ahmednagar,Cotton,Long Staple,1277.91,1903.08,1618.7
2025-05-10,Maharashtra,Jalgaon,Nashik,Sugarcane,Local,1251.2,2338.56,1654.08
2025-09-21,Maharashtra,Kolhapur,Sangli,Sugarcane,Local,1196.33,2005.98,1746.43
2025-04-24,Maharashtra,Jalgaon,Solapur,Soybean,Bold,1569.6,2443.8,2151.58
2025-03-04,Maharashtra,Aurangabad,Lasalgaon,Wheat,Lokwan,1116.6,1953.5,1770.61
2025-04-07,Maharashtra,Dhule,Lasalgaon,Onion,White,2293.55,3562.16,2691.87
2025-11-26,Maharashtra,Jalgaon,Pune,Maize,White,1907.33,2421.75,2123.64
2025-01-18,Maharashtra,Jalgaon,Ahmednagar,Rice,Non-Basmati,1093.46,2548.64,1652.11
2025-07-24,Maharashtra,Nashik,Pune,Potato,Local,124.65,540.92,300.0
2025-08-01,Maharashtra,Ahmednagar,Nashik,Potato,Jyoti,1065.25,1532.78,1416.26
2025-04-07,Maharashtra,Satara,Jalgaon,Wheat,Sharbati,1585.64,2879.12,2062.57
2025-10-06,Maharashtra,Kolhapur,Lasalgaon,Chickpea,Desi,3134.0,4213.13,3649.11
2025-08-24,Maharashtra,Solapur,Kolhapur,Maize,White,1876.23,2797.18,2416.05
2025-06-17,Maharashtra,Aurangabad,Ahmednagar,Sugarcane,Local,467.89,1194.68,684.01
2025-03-01,Maharashtra,Pune,Nashik,Potato,Jyoti,1928.58,2926.15,2617.57
2025-03-26,Maharashtra,Solapur,Nashik,Soybean,Bold,1749.92,2564.78,1956.97
2025-09-18,Maharashtra,Satara,Sangli,Sugarcane,Local,3027.53,3778.35,3185.17
2025-12-21,Maharashtra,Solapur,Pune,Wheat,Sharbati,246.64,909.23,745.07
2025-06-15,Maharashtra,Aurangabad,Nashik,Tomato,Hybrid,3307.41,4781.96,3953.41
2025-08-16,Maharashtra,Pune,Sangli,Wheat,Lokwan,2600.78,3504.83,3036.41
2025-03-01,Maharashtra,Jalgaon,Sangli,Cotton,Medium Staple,1792.11,2505.52,2249.4
2025-06-13,Maharashtra,Nashik,Ahmednagar,Onion,White,224.29,993.29,647.39
2025-08-18,Maharashtra,Aurangabad,Pune,Cotton,Long Staple,621.23,1539.85,746.88
2025-03-23,Maharashtra,Kolhapur,Pune,Wheat,Sharbati,2813.67,3729.0,3322.45
2025-06-06,Maharashtra,Jalgaon,Lasalgaon,Potato,Jyoti,3148.91,4013.4,3463.83
2025-07-10,Maharashtra,Ahmednagar,Nashik,Cotton,Medium Staple,3088.51,4608.06,3749.91
