sample_date,state,district,soil_type,ph,organic_carbon_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,moisture_pct
2025-12-16,Maharashtra,Jalgaon,Alluvial,,0.71,252.0,37.59,320.11,33.26
2025-01-18,Maharashtra,Ahmednagar,Red,7.07,0.49,238.08,19.68,361.22,42.76
2024-01-17,Maharashtra,Aurangabad,Loamy,7.37,0.91,227.28,43.67,195.16,35.68
2025-08-16,Maharashtra,Solapur,Alluvial,7.5,0.54,290.5,30.03,144.49,36.98
2024-01-14,Maharashtra,Solapur,Alluvial,7.98,0.62,325.45,26.48,256.25,27.64
2024-03-21,Maharashtra,Solapur,Black,6.57,0.65,292.19,16.14,227.03,46.81
2024-07-25,Maharashtra,Ahmednagar,Red,5.85,0.56,250.36,11.54,338.58,57.86
2024-07-22,Maharashtra,Sangli,Red,7.05,0.71,247.42,27.23,152.55,27.83
2025-01-13,Maharashtra,Jalgaon,Alluvial,8.12,0.94,334.95,21.28,362.04,21.24
2025-06-27,Maharashtra,Dhule,Black,6.47,0.36,297.08,8.61,395.36,38.24
2024-01-23,Maharashtra,Aurangabad,Alluvial,7.28,0.77,265.82,6.83,260.03,37.66
2025-09-05,Maharashtra,Pune,Alluvial,,0.69,257.13,12.41,266.07,52.05
2024-06-10,Maharashtra,Jalgaon,Red,6.93,0.69,287.62,40.21,183.25,23.25
2025-09-01,Maharashtra,Aurangabad,Black,6.8,0.87,222.53,44.13,205.73,31.54
2024-05-23,Maharashtra,Pune,Alluvial,6.15,0.66,325.72,24.05,219.17,12.23
2024-04-13,Maharashtra,Kolhapur,Red,5.2,0.77,173.93,23.49,404.29,54.5
2025-01-16,Maharashtra,Sangli,Alluvial,6.02,0.83,227.08,18.64,252.81,41.01
2025-03-30,Maharashtra,Kolhapur,Alluvial,6.53,0.52,308.89,12.66,127.78,32.44
2025-02-20,Maharashtra,Sangli,Black,7.57,0.72,169.37,35.75,285.54,22.13
2024-11-19,Maharashtra,Satara,Black,6.73,0.59,134.16,40.74,342.63,23.23
2024-06-19,Maharashtra,Dhule,Black,6.44,0.62,265.05,13.07,257.46,42.97
2025-07-29,Maharashtra,Nashik,Alluvial,6.18,0.57,,21.17,406.92,24.71
2025-08-05,Maharashtra,Nashik,Loamy,7.26,0.77,156.1,17.5,337.75,39.25
2024-09-30,Maharashtra,Sangli,Black,7.75,0.67,320.53,17.8,155.09,62.52
2025-03-27,Maharashtra,Nashik,Loamy,7.54,0.75,243.62,33.86,204.86,33.83
2024-05-04,Maharashtra,Ahmednagar,Loamy,7.22,0.65,362.84,8.88,282.62,26.46
2025-01-17,Maharashtra,Aurangabad,Loamy,5.77,0.25,163.61,26.66,93.38,42.58
2024-11-12,Maharashtra,Jalgaon,Red,6.55,0.66,252.48,29.28,293.64,23.29
2024-04-16,Maharashtra,Kolhapur,Alluvial,8.16,0.67,291.97,20.58,83.84,58.64
2025-10-21,Maharashtra,Satara,Black,7.59,0.71,166.36,30.93,362.34,54.84
2025-04-07,Maharashtra,Dhule,Alluvial,5.72,0.5,342.54,23.48,350.73,36.03
2025-03-05,Maharashtra,Dhule,Alluvial,6.76,0.35,300.85,34.17,310.48,27.23
2025-12-04,Maharashtra,Satara,Red,7.05,0.81,131.26,6.78,192.41,32.89
2024-12-02,Maharashtra,Solapur,Red,6.27,0.58,256.98,18.51,277.02,34.45
2025-05-10,Maharashtra,Solapur,Red,5.18,0.69,290.88,21.28,208.66,42.6
2024-12-27,Maharashtra,Solapur,Alluvial,6.87,0.58,212.8,5.0,156.92,50.48
2025-03-07,Maharashtra,Satara,Loamy,6.25,0.65,141.61,11.14,226.13,25.56
2025-11-05,Maharashtra,Nashik,Alluvial,6.25,0.54,282.28,13.86,329.83,50.13
2025-06-03,Maharashtra,Pune,Red,6.55,0.41,436.9,31.48,264.38,45.41
2025-02-09,Maharashtra,Satara,Alluvial,6.71,0.77,229.04,14.93,405.07,31.91
2025-01-11,Maharashtra,Nashik,Red,6.79,0.5,385.54,13.82,336.58,24.96
2024-05-31,Maharashtra,Jalgaon,Red,6.18,0.69,199.82,30.17,325.87,39.39
2024-11-17,Maharashtra,Satara,Black,6.65,0.75,277.24,5.82,99.11,25.28
2025-08-29,Maharashtra,Kolhapur,Loamy,5.57,0.5,321.72,5.0,231.48,50.28
2024-08-01,Maharashtra,Nashik,Red,7.02,0.35,259.33,18.38,153.56,24.51
2025-07-29,Maharashtra,Dhule,Black,5.0,1.26,236.18,7.52,241.7,44.57
2024-03-05,Maharashtra,Sangli,Loamy,6.6,0.52,318.09,7.9,190.67,37.03
2024-09-26,Maharashtra,Sangli,Red,7.44,0.81,411.32,27.73,222.24,31.27
2025-06-20,Maharashtra,Satara,Loamy,6.06,1.13,284.05,30.76,366.12,36.77
2024-04-09,Maharashtra,Kolhapur,Loamy,7.3,0.85,218.72,29.89,307.52,50.96
2024-04-14,Maharashtra,Kolhapur,Alluvial,7.61,0.57,244.82,33.09,360.71,23.69
2024-05-10,Maharashtra,Sangli,Black,5.0,0.63,461.58,34.41,99.93,33.05
2025-01-23,Maharashtra,Nashik,Loamy,6.69,0.44,270.79,5.0,265.8,28.98
2024-11-16,Maharashtra,Jalgaon,Alluvial,5.0,0.87,212.45,26.5,356.67,37.54
2025-03-13,Maharashtra,Satara,Loamy,6.72,0.79,168.39,16.7,410.63,29.78
2024-01-19,Maharashtra,Jalgaon,Alluvial,6.79,0.52,113.93,14.53,105.19,16.78
2024-08-12,Maharashtra,Solapur,Red,5.06,0.39,289.09,27.6,224.85,25.34
2025-09-09,Maharashtra,Pune,Red,8.15,0.32,312.37,5.0,363.42,57.65
2025-07-19,Maharashtra,Ahmednagar,Alluvial,7.0,0.9,228.26,5.0,240.77,40.96
2025-04-04,Maharashtra,Solapur,Red,6.21,0.68,258.8,28.34,168.96,40.55
2025-01-28,Maharashtra,Aurangabad,Red,7.83,0.7,166.36,26.88,105.0,34.61
