date,district,latitude,longitude,temperature_c,precipitation_mm,relative_humidity_pct,solar_radiation_kwh_m2
2025-04-13,Pune,18.6977,75.9965,26.25,19.46,76.61,8.12
2025-12-15,Ahmednagar,19.819,74.2487,28.61,2.15,95.24,3.47
2025-09-28,Kolhapur,18.8636,75.6511,35.1,6.78,63.96,6.29
2025-04-17,Solapur,16.6469,74.0328,26.23,1.98,95.3,1.52
2025-03-13,Nashik,20.4085,74.046,30.96,9.61,45.01,4.85
2025-07-08,Sangli,16.7911,73.3747,29.06,18.69,58.3,5.54
2025-01-21,Jalgaon,20.8012,74.5402,30.13,3.61,59.93,4.08
2025-04-13,Dhule,16.6131,75.554,28.9,7.74,43.23,2.52
2025-05-02,Jalgaon,19.625,76.2908,24.26,9.55,20.0,5.14
2025-08-03,Aurangabad,16.8699,75.1133,24.76,4.34,77.65,7.5
2025-11-27,Jalgaon,20.598,76.021,22.73,2.53,45.26,4.98
2025-03-29,Kolhapur,18.5899,75.8787,18.8,1.05,54.79,6.04
2025-04-10,Solapur,17.1189,73.6067,33.22,6.11,90.52,6.89
2025-12-26,Sangli,18.0337,74.7004,27.05,14.72,72.3,8.91
2025-06-01,Nashik,17.2417,73.4092,32.97,14.71,93.32,3.62
2025-05-11,Nashik,17.2676,75.3875,34.83,2.31,64.17,3.78
2025-05-30,Ahmednagar,20.7665,76.3246,27.27,2.77,72.0,4.76
2025-11-05,Dhule,18.5036,73.4798,20.43,14.59,57.67,6.12
2025-09-15,Pune,20.0496,75.5686,26.02,22.7,46.72,1.72
2025-12-10,Solapur,19.3782,75.2128,23.64,5.27,71.93,6.18
2025-10-21,Pune,19.5439,75.0426,17.1,11.28,54.15,5.42
2025-07-11,Sangli,17.0926,74.3654,24.49,4.06,73.6,4.4
2025-10-04,Jalgaon,17.5538,74.243,26.64,25.02,51.73,5.84
2025-06-10,Nashik,20.0404,73.1584,23.78,10.29,58.84,6.53
2025-11-10,Sangli,20.8684,73.7627,23.14,11.3,60.28,6.74
2025-01-22,Jalgaon,17.682,73.0531,20.61,10.78,81.39,5.22
2025-09-10,Nashik,17.7221,75.035,27.98,7.28,54.36,5.69
2025-08-24,Jalgaon,18.628,73.3705,36.35,8.08,83.37,5.63
2025-12-11,Dhule,20.9273,76.0556,33.39,19.21,45.71,7.05
2025-02-18,Solapur,17.7103,74.831,30.27,2.67,66.86,5.77
2025-02-28,Aurangabad,18.3314,75.4489,30.38,7.78,49.62,6.17
2025-06-19,Sangli,20.5117,74.438,26.34,5.0,82.08,6.54
2025-07-07,Sangli,16.5131,74.962,17.98,15.33,47.26,8.14
2025-09-28,Satara,16.6789,76.2993,25.15,11.38,49.1,4.32
2025-07-09,Kolhapur,19.2183,73.2896,22.15,3.07,39.39,7.64
2025-06-24,Dhule,20.5832,73.8888,27.77,7.42,63.85,8.91
2025-02-20,Dhule,17.5749,75.73,33.17,4.89,72.64,4.42
